"Figure 5: In the latest period the finance and business services sector saw the largest annual regular pay growth rate ",""
"Average weekly earnings annual growth rates for regular pay by sector in Great Britain, seasonally adjusted, November 2017 to January 2018 to May to July 2023",""
"",""
"Notes",""
"Unit","%"
"",""
"","Private sector","Public sector","Finance and business services","Manufacturing","Construction","Wholesailing, retailing, hotels & restaurants"
"Nov to Jan 2018","2.7","2.0","2.3","2.9","3.4","2.1"
"Dec to Feb 2018","2.9","2.3","2.6","2.9","4.1","2.4"
"Jan to Mar 2018","3.0","2.4","2.7","2.8","4.7","2.4"
"Feb to Apr 2018","3.0","2.5","2.8","2.7","5.1","2.5"
"Mar to May 2018","2.9","2.2","2.5","2.5","5.7","2.6"
"Apr to Jun 2018","2.8","2.2","2.3","2.4","5.5","2.7"
"May to Jul 2018","3.0","2.4","2.4","2.4","5.1","3.5"
"Jun to Aug 2018","3.2","2.7","2.4","2.3","4.6","4.1"
"Jul to Sep 2018","3.3","2.8","2.6","2.3","3.7","4.0"
"Aug to Oct 2018","3.4","2.7","2.9","2.1","3.3","3.8"
"Sep to Nov 2018","3.4","2.9","3.3","2.1","3.6","3.3"
"Oct to Dec 2018","3.5","2.9","3.7","1.9","3.9","3.3"
"Nov to Jan 2019","3.6","2.9","4.0","1.9","4.2","3.1"
"Dec to Feb 2019","3.6","2.6","3.9","2.0","4.3","2.9"
"Jan to Mar 2019","3.6","2.3","4.1","2.3","4.1","2.6"
"Feb to Apr 2019","3.6","2.9","4.0","2.3","4.4","2.6"
"Mar to May 2019","3.7","3.5","4.3","2.4","4.5","2.7"
"Apr to Jun 2019","3.9","3.9","4.6","2.4","5.1","3.1"
"May to Jul 2019","4.0","3.5","4.6","2.5","5.3","3.2"
"Jun to Aug 2019","3.9","3.3","4.7","2.6","5.5","3.1"
"Jul to Sep 2019","3.7","3.3","4.5","2.6","5.6","3.1"
"Aug to Oct 2019","3.5","3.3","4.6","2.8","5.4","2.5"
"Sep to Nov 2019","3.3","3.4","4.4","2.7","4.7","2.1"
"Oct to Dec 2019","3.2","3.3","4.2","2.8","3.5","1.4"
"Nov to Jan 2020","3.0","3.2","3.5","2.4","2.7","2.0"
"Dec to Feb 2020","2.9","3.2","3.2","2.1","2.3","2.2"
"Jan to Mar 2020","2.5","3.3","2.7","1.5","2.0","2.4"
"Feb to Apr 2020","1.3","3.3","2.4","0.0","-1.7","0.1"
"Mar to May 2020","-0.1","3.8","1.7","-1.6","-5.7","-2.2"
"Apr to Jun 2020","-1.2","4.1","1.0","-2.5","-8.8","-3.9"
"May to Jul 2020","-0.8","4.4","1.2","-1.7","-7.5","-3.2"
"Jun to Aug 2020","0.1","4.1","2.3","-0.9","-5.1","-1.7"
"Jul to Sep 2020","1.4","4.1","3.7","-0.1","-2.7","-0.2"
"Aug to Oct 2020","2.5","4.1","4.6","0.5","-1.1","1.6"
"Sep to Nov 2020","3.3","4.2","5.0","1.1","0.1","2.8"
"Oct to Dec 2020","4.0","4.2","5.4","1.7","1.3","3.7"
"Nov to Jan 2021","4.1","4.7","6.3","1.9","1.7","2.9"
"Dec to Feb 2021","4.2","5.1","6.6","2.0","1.5","2.6"
"Jan to Mar 2021","4.3","5.4","7.1","2.1","1.3","2.4"
"Feb to Apr 2021","5.7","4.8","8.0","3.7","4.7","4.8"
"Mar to May 2021","7.2","3.8","9.1","5.3","8.9","7.1"
"Apr to Jun 2021","8.4","2.8","10.1","6.3","12.3","8.6"
"May to Jul 2021","7.8","2.4","10.0","5.3","10.7","7.5"
"Jun to Aug 2021","6.7","2.6","9.2","4.2","8.2","5.7"
"Jul to Sept 2021","5.5","2.6","7.9","3.3","5.6","4.6"
"Aug to Oct 2021","4.6","2.6","6.8","2.6","4.1","4.0"
"Sept to Nov 2021","4.1","2.6","6.4","2.2","3.0","3.8"
"Oct to Dec 2021","3.9","2.7","6.6","1.9","2.2","3.7"
"Nov to Jan 2022","4.2","2.4","6.2","2.3","2.4","5.0"
"Dec to Feb 2022","4.6","2.1","6.1","2.4","3.1","5.6"
"Jan to Mar 2022","4.9","1.8","5.8","2.7","4.4","6.5"
"Feb to Apr 2022","4.8","1.7","5.5","2.7","4.9","6.2"
"Mar to May 2022","5.1","1.7","5.6","3.2","5.2","6.4"
"Apr to Jun 2022","5.4","1.8","5.8","3.8","5.3","6.7"
"May to Jul 2022","6.0","2.0","6.0","4.3","5.4","7.1"
"Jun to Aug 2022","6.3","2.2","6.0","4.6","5.1","7.5"
"Jul to Sep 2022","6.6","2.2","6.3","4.9","5.4","7.2"
"Aug to Oct 2022","6.9","2.8","7.2","5.2","5.8","6.5"
"Sep to Nov 2022","7.3","3.4","7.7","5.4","6.2","6.0"
"Oct to Dec 2022","7.3","4.3","7.4","5.5","6.1","6.0"
"Nov to Jan 2023","7.0","4.9","7.8","5.4","6.1","5.3"
"Dec to Feb 2023","7.0","5.3","8.2","5.9","6.2","4.9"
"Jan to Mar 2023","7.1","5.6","8.8","6.4","6.5","4.5"
"Feb to Apr 2023","7.7","5.7","9.2","7.3","6.4","5.2"
"Mar to May 2023","7.9","5.9","9.1","7.9","6.2","5.6"
"Apr to Jun 2023","8.2","6.2","9.4","8.2","5.8","6.3"
"May to Jul 2023","8.1","6.6","9.5","8.1","5.4","6.5"
